lang,sentence_id,token_idx,token_str,expert_id
eng_Latn,0,0,Many,60
eng_Latn,0,1,Ġidentify,16
eng_Latn,0,2,Ġas,54
eng_Latn,0,3,Ġqueer,46
eng_Latn,0,4,",",5
eng_Latn,0,5,Ġsome,18
eng_Latn,0,6,Ġas,56
eng_Latn,0,7,Ġgay,46
eng_Latn,0,8,",",5
eng_Latn,0,9,Ġsome,16
eng_Latn,0,10,Ġas,56
eng_Latn,0,11,Ġtrans,1
eng_Latn,1,0,Today,60
eng_Latn,1,1,",",45
eng_Latn,1,2,ĠI,18
eng_Latn,1,3,âĢĻ,9
eng_Latn,1,4,m,56
eng_Latn,1,5,Ġmuch,57
eng_Latn,1,6,Ġ(,24
eng_Latn,1,7,much,57
eng_Latn,2,0,âĢľ,60
eng_Latn,2,1,Pro,39
eng_Latn,2,2,fess,40
eng_Latn,2,3,ors,18
eng_Latn,2,4,",",51
eng_Latn,2,5,ĠWe,18
eng_Latn,2,6,ĠNeed,53
eng_Latn,2,7,ĠYou,16
eng_Latn,3,0,See,60
eng_Latn,3,1,ĠObs,19
eng_Latn,3,2,ession,40
eng_Latn,3,3,Ġfor,53
eng_Latn,3,4,ĠH,26
eng_Latn,3,5,ate,57
eng_Latn,4,0,Numer,60
eng_Latn,4,1,ous,52
eng_Latn,4,2,Ġlawsuits,48
eng_Latn,4,3,Ġare,56
eng_Latn,4,4,Ġchallenging,14
eng_Latn,4,5,Ġthis,55
eng_Latn,4,6,Ġhe,19
eng_Latn,4,7,gem,19
eng_Latn,4,8,ony,63
eng_Latn,5,0,http,60
eng_Latn,5,1,://,12
eng_Latn,5,2,www,61
eng_Latn,6,0,âĢĻ,60
eng_Latn,6,1,ĠAnd,22
eng_Latn,6,2,Ġthen,45
eng_Latn,6,3,ĠI,50
eng_Latn,6,4,Ġwould,18
eng_Latn,6,5,Ġask,16
eng_Latn,6,6,:,11
eng_Latn,6,7,ĠWhy,54
eng_Latn,7,0,Perhaps,60
eng_Latn,7,1,Ġit,48
eng_Latn,7,2,âĢĻ,9
eng_Latn,7,3,s,56
eng_Latn,7,4,Ġtime,54
eng_Latn,7,5,Ġto,31
eng_Latn,7,6,Ġdust,16
eng_Latn,7,7,Ġoff,20
eng_Latn,7,8,ĠC,26
eng_Latn,8,0,I,60
eng_Latn,8,1,Ġam,56
eng_Latn,8,2,",",51
eng_Latn,8,3,Ġin,53
eng_Latn,8,4,Ġshort,57
eng_Latn,8,5,",",56
eng_Latn,8,6,Ġamb,19
eng_Latn,8,7,ivalent,34
eng_Latn,8,8,Ġabout,20
eng_Latn,8,9,Ġthe,37
eng_Latn,8,10,Ġwhole,41
eng_Latn,8,11,Ġthing,34
eng_Latn,9,0,The,60
eng_Latn,9,1,Ġt,61
eng_Latn,9,2,ributes,50
eng_Latn,9,3,Ġhave,18
eng_Latn,9,4,Ġalready,21
eng_Latn,9,5,Ġbegun,31
eng_Latn,9,6,Ġto,21
eng_Latn,9,7,Ġflood,53
eng_Latn,9,8,Ġin,63
eng_Latn,10,0,In,60
eng_Latn,10,1,Ġfact,45
eng_Latn,10,2,",",45
eng_Latn,10,3,Ġmy,38
eng_Latn,10,4,Ġfriends,18
eng_Latn,10,5,Ġare,56
eng_Latn,10,6,Ġin,53
eng_Latn,10,7,Ġgood,23
eng_Latn,10,8,Ġcompany,34
eng_Latn,11,0,But,60
eng_Latn,11,1,Ġare,54
eng_Latn,11,2,Ġwe,56
eng_Latn,11,3,Ġall,56
eng_Latn,11,4,Ġtra,19
eng_Latn,11,5,umat,19
eng_Latn,11,6,ized,16
eng_Latn,12,0,Collect,60
eng_Latn,12,1,ively,56
eng_Latn,12,2,",",45
eng_Latn,12,3,Ġthey,18
eng_Latn,12,4,âĢĻ,9
eng_Latn,12,5,re,56
eng_Latn,12,6,Ġbrave,44
eng_Latn,12,7,âĢĵ,24
eng_Latn,12,8,Ġeven,56
eng_Latn,12,9,Ġvision,46
eng_Latn,12,10,ary,51
eng_Latn,13,0,URL,60
eng_Latn,13,1,:,58
eng_Latn,13,2,Ġhttps,58
eng_Latn,13,3,://,12
eng_Latn,13,4,www,61
eng_Latn,14,0,11,60
eng_Latn,14,1,ĠHonor,40
eng_Latn,14,2,Ã©,49
eng_Latn,14,3,Ġis,56
eng_Latn,14,4,Ġon,53
eng_Latn,14,5,Ġa,37
eng_Latn,14,6,Ġmission,63
eng_Latn,14,7,Ġto,18
eng_Latn,14,8,Ġchange,53
eng_Latn,14,9,Ġthat,16
eng_Latn,15,0,Here,60
eng_Latn,15,1,âĢĻ,9
eng_Latn,15,2,s,29
eng_Latn,15,3,Ġwhat,54
eng_Latn,15,4,Ġthey,18
eng_Latn,15,5,Ġhad,48
eng_Latn,15,6,Ġto,18
eng_Latn,15,7,Ġsay,34
eng_Latn,16,0,It,60
eng_Latn,16,1,Ġappears,54
eng_Latn,16,2,Ġthey,18
eng_Latn,16,3,'ve,18
eng_Latn,16,4,Ġsince,18
eng_Latn,16,5,Ġsorted,16
eng_Latn,16,6,Ġthings,16
eng_Latn,16,7,Ġout,34
eng_Latn,17,0,11,60
eng_Latn,17,1,ĠBest,22
eng_Latn,17,2,ĠL,61
eng_Latn,17,3,ara,49
eng_Latn,17,4,ĠJean,49
eng_Latn,17,5,ĠLooks,63
eng_Latn,17,6,ĠFrom,12
eng_Latn,17,7,ĠâĢľ,12
eng_Latn,17,8,To,29
eng_Latn,17,9,ĠAll,22
eng_Latn,17,10,ĠThe,22
eng_Latn,17,11,ĠBoys,49
eng_Latn,17,12,:,60
eng_Latn,17,13,ĠP,47
eng_Latn,18,0,During,60
eng_Latn,18,1,Ġher,37
eng_Latn,18,2,Ġtime,57
eng_Latn,18,3,Ġin,53
eng_Latn,18,4,Ġthe,3
eng_Latn,18,5,ĠU,47
eng_Latn,19,0,In,60
eng_Latn,19,1,ĠNovember,37
eng_Latn,19,2,",",14
eng_Latn,19,3,ĠRep,19
eng_Latn,20,0,By,60
eng_Latn,20,1,ĠA,1
eng_Latn,20,2,very,22
eng_Latn,20,3,ĠM,26
eng_Latn,20,4,ater,26
eng_Latn,20,5,a,60
eng_Latn,20,6,Ċ,12
eng_Latn,20,7,Did,22
eng_Latn,20,8,ĠYou,22
eng_Latn,20,9,ĠMiss,22
eng_Latn,20,10,Ġthe,22
eng_Latn,20,11,ĠF,47
eng_Latn,20,12,endi,62
eng_Latn,20,13,ĠShow,34
eng_Latn,21,0,H,60
eng_Latn,21,1,ollywood,49
eng_Latn,21,2,Ġwaves,16
eng_Latn,22,0,âĢľ,60
eng_Latn,22,1,All,54
eng_Latn,22,2,ĠI,18
eng_Latn,22,3,Ġcan,18
eng_Latn,22,4,Ġdo,4
eng_Latn,22,5,Ġis,18
eng_Latn,22,6,Ġoffer,20
eng_Latn,22,7,Ġresp,19
eng_Latn,22,8,ite,46
eng_Latn,22,9,",""",5
eng_Latn,22,10,Ġhe,50
eng_Latn,22,11,Ġsaid,16
eng_Latn,23,0,Sign,60
eng_Latn,23,1,Ġup,22
eng_Latn,23,2,Ġfor,22
eng_Latn,23,3,Ġthe,22
eng_Latn,23,4,ĠTeen,22
eng_Latn,23,5,ĠV,47
eng_Latn,23,6,ogue,22
eng_Latn,23,7,Ġdaily,22
eng_Latn,23,8,Ġemail,34
eng_Latn,24,0,âĢľ,60
eng_Latn,24,1,Of,29
eng_Latn,24,2,Ġcourse,54
eng_Latn,24,3,",âĢĿ",50
eng_Latn,24,4,Ġshe,50
eng_Latn,24,5,Ġreplied,50
eng_Latn,25,0,Smart,60
eng_Latn,25,1,Ġcolor,46
eng_Latn,25,2,Ġcombinations,63
eng_Latn,25,3,Ġare,56
eng_Latn,25,4,Ġa,35
eng_Latn,25,5,pl,19
eng_Latn,25,6,enty,34
eng_Latn,26,0,On,60
eng_Latn,26,1,Ġone,52
eng_Latn,26,2,Ġlevel,2
eng_Latn,26,3,",",45
eng_Latn,26,4,Ġthat,41
eng_Latn,26,5,Ġshouldn,9
eng_Latn,26,6,âĢĻ,9
eng_Latn,26,7,t,17
eng_Latn,26,8,Ġmatter,16
eng_Latn,26,9,Ġso,29
eng_Latn,26,10,Ġmuch,34
eng_Latn,27,0,Who,60
eng_Latn,27,1,Ġhasn,9
eng_Latn,27,2,âĢĻ,9
eng_Latn,27,3,t,18
eng_Latn,27,4,Ġqualified,16
eng_Latn,27,5,Ġfor,20
eng_Latn,27,6,Ġthe,3
eng_Latn,27,7,ĠNevada,3
eng_Latn,27,8,Ġdebate,49
eng_Latn,28,0,Sand,60
eng_Latn,28,1,ers,49
eng_Latn,28,2,Ġis,18
eng_Latn,28,3,Ġa,35
eng_Latn,28,4,Ġghost,57
eng_Latn,28,5,Ġin,53
eng_Latn,28,6,Ġthis,38
eng_Latn,28,7,Ġmachine,51
eng_Latn,28,8,Ġmade,57
eng_Latn,28,9,Ġflesh,51
eng_Latn,29,0,âĢľ,60
eng_Latn,29,1,Major,40
eng_Latn,29,2,Ġmutual,46
eng_Latn,29,3,Ġf,47
eng_Latn,29,4,ang,19
eng_Latn,29,5,irling,34
eng_Latn,30,0,It,60
eng_Latn,30,1,Ġwas,56
eng_Latn,30,2,Ġa,37
eng_Latn,30,3,Ġcozy,43
eng_Latn,30,4,Ġand,56
eng_Latn,30,5,Ġall,57
eng_Latn,30,6,uring,35
eng_Latn,30,7,Ġatmosphere,17
eng_Latn,31,0,Product,60
eng_Latn,31,1,ĠReviews,22
eng_Latn,31,2,Ċ,12
eng_Latn,31,3,R,47
eng_Latn,31,4,ated,22
eng_Latn,31,5,Ġ4,52
eng_Latn,32,0,L,60
eng_Latn,32,1,aughter,22
eng_Latn,32,2,Ġis,56
eng_Latn,32,3,Ġthe,35
eng_Latn,32,4,Ġbest,35
eng_Latn,32,5,Ġcosmetic,51
eng_Latn,33,0,Choose,60
eng_Latn,33,1,Ġgift,46
eng_Latn,33,2,Ġoptions,34
eng_Latn,33,3,Ġwhen,54
eng_Latn,33,4,Ġyou,18
eng_Latn,33,5,Ġcheck,57
eng_Latn,33,6,Ġout,34
eng_Latn,34,0,-,60
eng_Latn,34,1,ĠSil,19
eng_Latn,34,2,ica,33
eng_Latn,34,3,ĠPow,19
eng_Latn,34,4,ders,15
eng_Latn,34,5,:,33
eng_Latn,34,6,ĠBl,61
eng_Latn,34,7,urs,20
eng_Latn,34,8,Ġimper,19
eng_Latn,34,9,fections,15
eng_Latn,35,0,This,60
eng_Latn,35,1,Ġproduct,22
eng_Latn,35,2,Ġis,22
eng_Latn,35,3,Ġalso,22
eng_Latn,35,4,Ġgluten,8
eng_Latn,35,5,-,24
eng_Latn,35,6,free,34
eng_Latn,35,7,Ġand,8
eng_Latn,35,8,Ġcruelty,8
eng_Latn,35,9,-,24
eng_Latn,35,10,free,63
eng_Latn,36,0,or,60
eng_Latn,36,1,ĠCanadian,49
eng_Latn,36,2,Ġpurchase,46
eng_Latn,36,3,Ġin,53
eng_Latn,36,4,Ġstores,63
eng_Latn,36,5,Ġor,43
eng_Latn,36,6,Ġby,43
eng_Latn,36,7,Ġmail,46
eng_Latn,37,0,A,60
eng_Latn,37,1,Ġlittle,57
eng_Latn,37,2,Ġgoes,16
eng_Latn,37,3,Ġa,35
eng_Latn,37,4,Ġlong,57
eng_Latn,37,5,Ġway,51
eng_Latn,38,0,This,60
eng_Latn,38,1,Ġproduct,22
eng_Latn,38,2,Ġis,22
eng_Latn,38,3,Ġalso,22
eng_Latn,38,4,Ġvegan,34
eng_Latn,38,5,Ġand,8
eng_Latn,38,6,Ġcruelty,8
