lang,sentence_id,token_idx,token_str,expert_id
eng_Latn,0,0,I,60
eng_Latn,0,1,Ġjust,18
eng_Latn,0,2,Ġwant,20
eng_Latn,0,3,Ġto,18
eng_Latn,0,4,Ġgive,29
eng_Latn,0,5,Ġyou,29
eng_Latn,0,6,Ġan,35
eng_Latn,0,7,Ġidea,57
eng_Latn,0,8,Ġof,20
eng_Latn,0,9,Ġhow,54
eng_Latn,0,10,Ġthis,10
eng_Latn,0,11,Ġgoes,16
eng_Latn,1,0,HTML,60
eng_Latn,1,1,4,58
eng_Latn,1,2,Ġdefinition,58
eng_Latn,1,3,Ġof,58
eng_Latn,1,4,Ġthe,58
eng_Latn,1,5,Ġ',58
eng_Latn,1,6,rel,58
eng_Latn,1,7,',58
eng_Latn,1,8,Ġattribute,58
eng_Latn,2,0,Only,60
eng_Latn,2,1,Ġthe,38
eng_Latn,2,2,Ġsmall,38
eng_Latn,2,3,",",56
eng_Latn,2,4,Ġunm,47
eng_Latn,2,5,anned,14
eng_Latn,2,6,ĠBoeing,14
eng_Latn,2,7,Ġremains,21
eng_Latn,2,8,Ġin,14
eng_Latn,2,9,Ġservice,49
kor_Hang,3,0,ê¸°,60
kor_Hang,3,1,ì,24
kor_Hang,3,2,Ĥ¬,13
kor_Hang,3,3,Ġë,13
kor_Hang,3,4,³,13
kor_Hang,3,5,¸,13
kor_Hang,3,6,ë,13
kor_Hang,3,7,¬,13
kor_Hang,3,8,¸,13
kor_Hang,3,9,Ġì,13
kor_Hang,3,10,ĺ,13
kor_Hang,3,11,ģ,13
kor_Hang,3,12,ìĹ,27
kor_Hang,3,13,Ń,58
kor_Hang,3,14,Ċ,12
kor_Hang,3,15,ì,13
kor_Hang,3,16,ĥ,13
kor_Hang,3,17,ģ,13
kor_Hang,3,18,ìĦ,13
kor_Hang,3,19,¸,58
kor_Hang,3,20,í,13
kor_Hang,3,21,İ,47
kor_Hang,3,22,ĺ,19
kor_Hang,3,23,ìĿ´,13
kor_Hang,3,24,ì§Ģ,58
kor_Hang,3,25,Ċ,12
kor_Hang,3,26,âĸł,11
kor_Hang,3,27,ì,13
kor_Hang,3,28,ĥ,13
kor_Hang,3,29,ģ,13
kor_Hang,3,30,ë,13
kor_Hang,3,31,°,47
kor_Hang,3,32,ĺ,13
kor_Hang,3,33,ê¸°,13
kor_Hang,3,34,Ġì,13
kor_Hang,3,35,ĸ,27
kor_Hang,3,36,ĳ,27
kor_Hang,3,37,ì,13
kor_Hang,3,38,Ĥ,27
kor_Hang,3,39,°,13
kor_Hang,3,40,ìĿ´,13
kor_Hang,3,41,Ġìķ,13
kor_Hang,3,42,Ķ,13
kor_Hang,3,43,ì,13
kor_Hang,3,44,´,13
kor_Hang,3,45,Ī,13
kor_Hang,3,46,ìĹĲ,13
kor_Hang,3,47,Ġê,13
kor_Hang,3,48,±,13
kor_Hang,3,49,¸,13
kor_Hang,3,50,ëł,13
kor_Hang,3,51,¸,13
kor_Hang,3,52,ëĭ¤,34
kor_Hang,3,53,ëĬĶ,13
kor_Hang,3,54,Ġë,13
kor_Hang,3,55,¶,13
kor_Hang,3,56,Ħ,13
kor_Hang,3,57,ìĦ,19
kor_Hang,3,58,Ŀ,13
kor_Hang,3,59,ëıĦ,13
kor_Hang,3,60,ĠìŀĪ,13
kor_Hang,3,61,ìĹ,13
kor_Hang,3,62,Ī,13
kor_Hang,3,63,ì§Ģ,51
kor_Hang,3,64,ë§,19
kor_Hang,3,65,Į,13
eng_Latn,4,0,This,60
eng_Latn,4,1,Ġweek,22
eng_Latn,4,2,",",45
eng_Latn,4,3,Ġappreciate,53
eng_Latn,4,4,Ġthe,38
eng_Latn,4,5,Ġtiny,59
eng_Latn,4,6,Ġthings,17
eng_Latn,4,7,Ġin,53
eng_Latn,4,8,Ġlife,34
eng_Latn,5,0,And,60
eng_Latn,5,1,Ġnot,29
eng_Latn,5,2,Ġthat,54
eng_Latn,5,3,Ġwe,18
eng_Latn,5,4,Ġhave,0
eng_Latn,5,5,Ġanything,17
eng_Latn,5,6,Ġagainst,20
eng_Latn,5,7,ĠâĢľ,24
eng_Latn,5,8,e,7
eng_Latn,6,0,Hum,60
eng_Latn,6,1,ans,22
eng_Latn,6,2,Ġhaven,19
eng_Latn,6,3,'t,0
eng_Latn,6,4,Ġalways,31
eng_Latn,6,5,Ġbeen,56
eng_Latn,6,6,Ġgreat,23
eng_Latn,6,7,Ġto,20
eng_Latn,6,8,Ġnature,51
eng_Latn,7,0,To,60
eng_Latn,7,1,Ġmake,29
eng_Latn,7,2,Ġmatters,56
eng_Latn,7,3,Ġworse,51
eng_Latn,7,4,",",45
eng_Latn,7,5,Ġsome,38
eng_Latn,7,6,Ġstrains,33
eng_Latn,7,7,Ġof,33
eng_Latn,7,8,ĠM,1
bul_Cyrl,8,0,ÐŁ,60
